blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
186,BISHAN ST 13,11,BH,80,0,0,0,0,0,80,0,0,0,0,0,0,80,0,304.0,64,1.34934558612857,103.852578831668,570186,BISHAN
186,BOON LAY AVE,22,JW,437,0,0,434,0,3,0,0,0,0,0,0,0,437,0,1095.5,53,1.34561976984928,103.711613047955,640186,JURONG WEST
186,BT BATOK WEST AVE 6,11,BB,70,0,0,0,50,20,0,0,0,0,0,0,0,70,0,235.0,66,1.34658076680317,103.744085374214,650186,BUKIT BATOK
186,PASIR RIS ST 11,13,PRC,71,0,0,0,0,71,0,0,0,0,0,0,0,71,0,248.5,70,1.3651306413506,103.959433090412,510186,PASIR RIS
186,PUNGGOL CTRL,17,PG,96,0,0,0,0,32,64,0,0,0,0,0,0,96,0,355.2,80,1.39856332789659,103.911099973166,820186,PUNGGOL
186,TOA PAYOH CTRL,4,TP,36,0,0,28,8,0,0,0,0,0,0,0,0,36,0,96.4,49,1.3326539531256,103.85021164455,310186,TOA PAYOH
186A,BEDOK NTH ST 4,19,BD,126,0,0,0,90,36,0,0,0,0,0,0,0,126,0,423.0,95,1.32991427421905,103.940310513079,461186,BEDOK
186A,RIVERVALE DR,17,SK,97,0,0,0,17,80,0,0,0,0,0,0,0,97,0,336.1,77,1.39300977764145,103.905649478832,541186,SENGKANG
186B,BEDOK NTH ST 4,19,BD,126,0,0,36,90,0,0,0,0,0,0,0,0,126,0,387.0,95,1.33003736213542,103.940842245677,462186,BEDOK
186B,RIVERVALE DR,17,SK,81,0,0,0,17,64,0,0,0,0,0,0,0,81,0,280.1,77,1.39280009752535,103.905610062045,542186,SENGKANG
186C,RIVERVALE DR,17,SK,98,0,0,0,34,64,0,0,0,0,0,0,0,98,0,336.2,77,1.39286345501083,103.905070419158,543186,SENGKANG
186D,RIVERVALE DR,17,SK,97,0,0,0,17,80,0,0,0,0,0,0,0,97,0,336.1,77,1.3934293161425,103.905442121703,544186,SENGKANG
187,BISHAN ST 13,11,BH,80,0,0,0,0,0,80,0,0,0,0,0,0,80,0,304.0,64,1.34955094936358,103.851544031278,570187,BISHAN
