blk_no,street,Postcode,n_supmkt_400,dist_supmkt,n_food_400,n_mrt_400m,dist_mrt,dist_cbd,n_presch_400,n_sch_2km,prank_2km,grnarea_400
294,CHOA CHU KANG AVE 2,680294,2,232.19796817594832,22,0,836.362928039606,15112.90709703582,11,15,27.0,1.22483817071783
294,PUNGGOL CTRL,820294,2,209.86339735891497,31,1,359.13261891705093,11581.363143874929,8,24,37.0,1.733296282867819
294,TAMPINES ST 22,520294,2,190.85684581827041,75,0,621.6144678196863,10798.025273087616,6,20,10.0,1.728268814161191
294A,COMPASSVALE CRES,541294,1,135.59336539648223,39,0,486.2486742586336,10591.66826224691,5,28,37.0,2.389717231096551
295,CHOA CHU KANG AVE 2,680295,3,243.5532167213324,50,0,862.8125288439459,15078.488718706363,12,15,27.0,1.18653324490444
295,PUNGGOL CTRL,820295,1,243.9654066091984,20,0,432.06585783994257,11521.29804416854,7,24,37.0,1.361218269790161
295,TAMPINES ST 22,520295,2,227.05611980557163,74,0,599.5608701338386,10900.560143355586,7,19,16.0,1.582878359865037
295A,COMPASSVALE CRES,541295,0,497.4041674092395,8,0,760.2566737405016,10935.683977202147,7,27,37.0,1.562563058312141
295B,COMPASSVALE CRES,542295,0,495.79588840172755,11,0,759.1882703565889,10933.30241309113,6,27,37.0,1.372815452516335
295C,COMPASSVALE CRES,543295,0,515.981257657083,10,0,796.9320894236367,10859.00773478895,5,27,37.0,1.410870817382817
296,CHOA CHU KANG AVE 2,680296,2,217.66478382471985,23,0,963.6542637673743,15057.364123896641,10,14,27.0,0.793629519963903
296,PUNGGOL CTRL,820296,1,254.83537721856774,17,0,482.85585424249456,11504.167601138062,7,24,37.0,1.606857931750735
296,TAMPINES ST 22,520296,2,253.63250488096526,74,0,582.9329206292234,10958.68045233312,7,19,16.0,1.468529840060305
296,YISHUN ST 20,760296,2,142.03378909753792,73,0,660.0129816713657,14777.10116713308,6,17,29.0,9.040585558194293
296A,BT BATOK ST 22,651296,0,471.5474538680006,10,0,649.4551714919722,12803.288689155906,4,13,40.0,1.455275255242923
296A,COMPASSVALE CRES,541296,0,438.5842642641031,10,0,729.203872589611,10807.877614546975,6,27,37.0,2.341486849609844
296A,CHOA CHU KANG AVE 2,681296,3,245.60284160928023,58,0,984.2955726327847,15025.73751333625,11,14,27.0,0.808533255703939
296B,BT BATOK ST 22,652296,0,575.3977042818742,30,0,639.570829717672,12689.432445994402,4,13,40.0,0.421423373578207
296B,COMPASSVALE CRES,542296,0,474.9228507616246,8,0,781.5736076832701,10869.646835838197,5,27,37.0,1.84705500201672
296B,CHOA CHU KANG AVE 2,682296,2,316.36347891341234,57,0,992.6247542068969,14955.264816367484,10,14,27.0,1.215870629251613
296C,BT BATOK ST 22,653296,0,569.4536608600478,23,0,610.4153829689054,12610.984648118085,6,13,40.0,0.075463105972606
296C,COMPASSVALE CRES,543296,0,494.0987837591941,10,0,781.3721690907961,10851.581354795504,5,27,37.0,1.612687446228585
296C,CHOA CHU KANG AVE 2,683296,1,250.6254597034782,58,0,996.6629819650238,14865.937975940738,12,13,27.0,1.543399286075049
296D,CHOA CHU KANG AVE 2,684296,1,171.92588307998528,40,0,976.4420314942688,14796.560910584521,13,13,27.0,1.670580417897673
296E,CHOA CHU KANG AVE 2,685296,1,159.50026715980894,40,0,944.6555404027102,14816.432066012954,13,14,27.0,1.560521119047136
297,BT BATOK ST 22,650297,0,459.87219544804117,15,0,503.60730754130157,12750.657456418636,6,13,40.0,1.518457741487253
297,CHOA CHU KANG AVE 2,680297,3,278.3444149219797,57,0,956.2579882020746,14931.174400551621,11,14,27.0,1.308264333970695
297,PUNGGOL CTRL,820297,1,185.38690877828603,17,0,457.3597169154884,11573.864393883137,7,24,37.0,1.6759014463085
297,TAMPINES ST 22,520297,2,182.01073270021817,74,0,557.6199187069756,10899.882202402117,6,20,10.0,0.937979277776084
297,YISHUN ST 20,760297,2,149.6555484165043,76,0,702.2594743995996,14821.90889041974,6,17,29.0,9.256630925835784
297A,COMPASSVALE ST,541297,0,511.2830461973362,10,0,675.9954957313299,10627.84894004833,15,27,37.0,0.882155691572974
297A,CHOA CHU KANG AVE 2,681297,2,238.79505889141106,58,0,958.779663770806,14887.428370811616,14,14,27.0,1.444878555020576
297B,COMPASSVALE ST,542297,0,480.65653790973494,10,0,696.3627288578227,10627.637652754138,16,27,37.0,0.049949638338961
297B,CHOA CHU KANG AVE 2,682297,1,142.56176050721263,40,0,896.2325830678334,14837.61567645683,13,15,27.0,1.422965944464654
297C,CHOA CHU KANG AVE 2,683297,2,151.9865183098147,32,0,847.0851600367282,14869.151453936327,13,15,27.0,1.164302215242302
297D,CHOA CHU KANG AVE 2,684297,2,166.06110630028274,32,0,814.8720028796122,14889.528874300213,15,15,27.0,1.13164256301078
298,BT BATOK ST 22,650298,0,477.2320037049787,15,0,540.6145564777404,12766.629357892285,6,13,40.0,1.553678997580375
298,PUNGGOL CTRL,820298,1,135.62158443908913,17,0,446.95244775808976,11623.849489774728,7,24,37.0,1.744212234187658
298,TAMPINES ST 22,520298,2,140.38907428227677,74,0,487.04827233782333,10930.455577664177,6,20,10.0,0.133680324530043
298,YISHUN ST 20,760298,2,183.8869284530766,81,0,703.1098987352251,14828.819630321948,5,16,29.0,9.257156156502138
298A,COMPASSVALE ST,541298,0,443.6356585013348,10,0,799.6573052205918,10703.753858388362,14,28,37.0,0.0
298B,COMPASSVALE ST,542298,0,445.1079605866439,4,0,859.9946935302387,10756.919587523382,13,28,37.0,0.045261276178743
298C,COMPASSVALE ST,543298,0,571.76578778813,4,0,793.7932874545635,10787.845373427279,8,28,37.0,0.539073135026047
298D,COMPASSVALE ST,544298,0,554.2811096315186,4,0,758.1211582304169,10738.660442264407,9,28,37.0,0.601590611653156
299,BT BATOK ST 22,650299,0,512.5576200483001,20,0,596.1299909252382,12743.337831499714,5,13,40.0,0.884729564662252
299,PUNGGOL CTRL,820299,1,145.16026233494787,20,0,413.5222548746233,11621.45296998702,7,24,37.0,1.671881311088871
299,YISHUN ST 20,760299,2,247.1137155936553,69,0,760.6884175887632,14892.41584601096,5,16,29.0,9.224542872652064
