blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
348C,YISHUN AVE 11,763348,89,62,91,100,67,74,92,42,41,3
348D,YISHUN AVE 11,764348,89,68,91,100,73,74,76,42,41,3
349,BT BATOK ST 34,650349,67,63,76,100,26,71,60,62,57,100
349,CLEMENTI AVE 2,120349,67,27,91,100,48,37,100,62,9,78
349,CORPORATION DR,610349,100,92,97,100,39,83,84,52,12,37
349,JURONG EAST AVE 1,600349,89,12,87,75,9,77,92,52,12,100
349,TAMPINES ST 33,520349,89,71,88,100,77,59,76,59,26,93
349,UBI AVE 1,400349,100,88,94,100,30,13,92,84,65,88
349,WOODLANDS AVE 3,730349,89,58,97,100,40,91,88,46,76,45
349,YISHUN AVE 11,760349,89,77,83,100,77,73,80,42,41,2
35,BEDOK STH AVE 2,460035,89,54,84,100,72,32,80,55,10,53
35,CHAI CHEE AVE,461035,67,27,67,100,26,23,76,52,31,91
35,CIRCUIT RD,370035,78,8,81,75,20,9,84,71,60,99
35,EUNOS CRES,400035,89,33,86,75,8,13,96,68,49,91
35,JLN BAHAGIA,320035,67,37,89,100,73,7,80,52,20,94
35,JLN RUMAH TINGGI,150035,89,25,84,100,65,12,84,68,91,25
35,LIM LIAK ST,160035,89,30,77,100,28,3,80,65,25,100
35,LOR 5 TOA PAYOH,310035,89,77,76,100,63,10,68,36,20,65
35,MARSILING DR,730035,100,100,95,100,93,100,92,81,88,81
35,MARINE CRES,440035,100,78,95,100,100,15,84,65,15,5
35,TANGLIN HALT RD,141035,100,94,94,100,42,18,88,81,30,100
35,TEBAN GDNS RD,600035,89,9,97,100,95,60,88,97,71,18
35,TELOK BLANGAH RISE,90035,89,71,93,100,66,5,96,78,25,1
350,ANG MO KIO ST 32,560350,78,52,78,100,45,23,84,42,7,3
350,BT BATOK ST 34,650350,67,55,71,100,23,71,68,62,57,100
350,CHOA CHU KANG CTRL,680350,78,40,57,75,6,82,72,52,39,74
350,CLEMENTI AVE 2,120350,67,30,79,100,37,38,88,62,9,80
350,CORPORATION DR,610350,100,80,97,100,48,82,80,52,12,44
350,TAMPINES ST 33,520350,89,66,88,100,76,59,76,59,26,84
350,UBI AVE 1,400350,100,86,92,100,33,13,92,81,65,88
350,WOODLANDS AVE 3,730350,89,53,97,100,40,91,88,49,76,31
350,YISHUN AVE 11,760350,78,51,79,100,84,73,76,46,41,2
350A,CANBERRA RD,751350,56,34,68,75,3,93,64,78,59,37
350A,YISHUN AVE 11,761350,78,56,79,100,83,73,76,42,41,3
350B,CANBERRA RD,752350,67,30,72,75,2,92,72,78,59,42
350C,CANBERRA RD,753350,67,30,72,75,1,92,76,78,59,47
351,ANG MO KIO ST 32,560351,78,55,72,100,38,23,80,49,7,8
351,BT BATOK ST 34,650351,56,61,74,100,25,71,60,62,57,100
351,CHOA CHU KANG CTRL,680351,78,49,57,75,7,82,72,52,39,82
351,CLEMENTI AVE 2,120351,67,14,91,100,45,37,88,62,9,80
351,CORPORATION DR,610351,100,85,97,100,41,82,76,59,12,28
351,HOUGANG AVE 7,530351,100,94,94,100,57,32,76,42,34,40
351,JURONG EAST ST 31,600351,89,7,86,75,15,78,92,52,12,81
351,TAMPINES ST 33,520351,89,72,88,100,78,59,76,59,26,100
351,UBI AVE 1,400351,100,91,94,100,34,13,92,78,65,89
351,WOODLANDS AVE 1,730351,100,83,94,100,42,89,84,46,76,57
351,YISHUN AVE 11,760351,78,68,80,100,81,73,68,42,41,4
351A,ANCHORVALE RD,541351,100,80,96,100,79,46,84,33,44,20
351A,CANBERRA RD,751351,56,30,64,75,2,93,68,78,59,41
351B,ANCHORVALE RD,542351,89,77,93,100,77,46,84,20,44,32
351B,CANBERRA RD,752351,45,32,64,75,5,93,68,78,59,39
351C,ANCHORVALE RD,543351,100,82,96,100,76,45,80,20,44,40
351C,CANBERRA RD,753351,45,39,63,75,8,94,64,81,59,43
351D,ANCHORVALE RD,544351,100,87,96,100,79,45,84,30,44,26
351D,CANBERRA RD,754351,45,33,63,75,7,94,64,78,59,43
352,ANG MO KIO ST 32,560352,78,45,78,100,38,23,80,52,13,12
352,BT BATOK ST 34,650352,56,54,71,100,22,71,64,62,57,100
352,CHOA CHU KANG CTRL,680352,78,57,57,75,12,82,68,52,39,79
