blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
337,CLEMENTI AVE 2,120337,67,26,77,100,25,38,76,62,9,74
337,HOUGANG AVE 7,530337,100,92,82,100,52,31,72,46,34,50
337,JURONG EAST AVE 1,600337,100,87,94,100,64,78,92,55,12,87
337,SEMBAWANG CRES,750337,100,86,83,100,41,90,36,62,59,46
337,TAMPINES ST 32,520337,89,35,89,100,55,55,72,52,26,76
337,UBI AVE 1,400337,100,82,87,100,33,14,92,81,65,88
337,WOODLANDS AVE 1,730337,78,25,89,100,68,89,80,52,76,79
337A,TAH CHING RD,611337,100,78,92,100,59,80,76,62,12,7
337B,TAH CHING RD,612337,89,69,84,100,60,80,60,62,12,12
337C,TAH CHING RD,613337,89,57,84,100,62,81,60,62,12,22
337D,TAH CHING RD,614337,89,54,84,100,60,81,60,62,12,25
338,ANG MO KIO AVE 1,560338,89,21,78,100,45,23,80,36,4,2
338,BT BATOK ST 34,650338,89,11,86,100,36,71,84,55,57,53
338,CLEMENTI AVE 2,120338,67,21,77,100,31,38,76,62,9,80
338,HOUGANG AVE 7,530338,100,95,89,100,57,31,72,49,34,50
338,JURONG EAST AVE 1,600338,100,92,94,100,70,79,100,55,12,89
338,SEMBAWANG CRES,750338,100,89,83,100,47,90,36,59,59,48
338,TAMPINES ST 33,520338,89,50,89,100,57,55,76,52,26,76
338,UBI AVE 1,400338,100,79,90,100,35,14,88,81,65,88
338,WOODLANDS AVE 1,730338,78,23,88,100,64,89,76,52,76,75
338A,ANCHORVALE CRES,541338,78,6,94,100,83,49,80,33,44,8
338A,TAH CHING RD,611338,89,72,84,100,56,81,60,62,12,10
338B,ANCHORVALE CRES,542338,78,2,93,100,81,50,76,33,44,10
338B,KANG CHING RD,612338,89,75,89,100,52,81,60,62,12,10
338C,ANCHORVALE CRES,543338,78,8,93,100,83,50,76,33,44,11
338D,ANCHORVALE CRES,544338,78,11,94,100,86,50,76,36,44,7
339,ANG MO KIO AVE 1,560339,89,20,78,100,37,23,80,42,4,5
339,BT BATOK ST 34,650339,89,17,82,100,32,71,84,55,57,53
339,CLEMENTI AVE 5,120339,78,35,78,100,50,39,88,68,9,92
339,HOUGANG AVE 7,530339,100,93,82,100,54,31,72,46,34,50
339,JURONG EAST AVE 1,600339,100,84,94,100,63,78,92,55,12,87
339,TAMPINES ST 33,520339,89,72,89,100,58,54,76,52,26,76
339,UBI AVE 1,400339,89,73,89,100,31,14,80,84,65,88
339,WOODLANDS AVE 1,730339,78,32,89,100,67,89,80,52,76,72
339A,KANG CHING RD,611339,89,65,84,100,54,81,60,62,12,15
339A,SEMBAWANG CL,751339,78,25,71,75,9,91,72,65,59,59
339B,KANG CHING RD,612339,89,70,89,100,50,81,60,62,12,14
339B,SEMBAWANG CL,752339,78,33,71,75,11,91,76,65,59,59
339C,KANG CHING RD,613339,100,79,97,100,47,81,72,62,12,9
339D,KANG CHING RD,614339,100,86,97,100,45,81,72,62,12,7
34,BEDOK STH AVE 2,460034,100,82,90,100,75,31,80,55,10,36
34,CASSIA CRES,390034,89,31,89,100,25,4,84,68,49,100
34,CHAI CHEE AVE,461034,67,40,66,75,20,23,76,52,31,95
34,CIRCUIT RD,370034,78,7,87,75,20,10,88,68,60,97
34,EUNOS CRES,400034,89,45,86,75,10,13,92,65,49,89
34,JLN BAHAGIA,320034,78,44,85,100,74,7,80,52,20,94
34,JLN BT HO SWEE,160034,67,1,50,75,5,5,72,65,25,43
34,KIM CHENG ST,161034,89,45,73,100,35,3,88,68,25,100
34,LOR 5 TOA PAYOH,310034,89,73,74,100,61,10,76,36,20,59
34,MARINE CRES,440034,89,76,94,100,100,15,80,65,15,11
34,MARSILING DR,730034,100,100,95,100,90,99,84,81,88,81
34,TANGLIN HALT RD,142034,100,96,95,100,45,17,88,81,30,100
34,TEBAN GDNS RD,600034,89,12,97,100,94,61,88,94,71,18
34,TELOK BLANGAH WAY,90034,89,61,95,100,71,5,96,71,25,4
34,UPP CROSS ST,50034,56,12,15,50,7,1,88,88,42,24
34,WHAMPOA WEST,330034,89,22,74,75,6,4,60,68,54,82
340,ANG MO KIO AVE 1,560340,89,31,78,100,37,23,80,42,4,6
340,BT BATOK ST 34,650340,89,50,81,100,38,72,68,59,57,100
340,CHOA CHU KANG LOOP,680340,89,20,58,75,5,81,80,52,39,10
340,CLEMENTI AVE 5,120340,78,20,85,100,51,38,88,68,9,66
340,HOUGANG AVE 7,530340,100,85,78,100,45,31,72,46,34,50
340,JURONG EAST AVE 1,600340,100,92,94,100,70,79,88,55,12,92
340,TAMPINES ST 33,520340,89,69,89,100,63,54,80,52,26,76
340,UBI AVE 1,400340,89,75,86,100,28,14,80,84,65,85
